ticker,caldt,crsp_fundno,mtna,mret,mnav
VHGEX,31/08/1995,31326,26.347,,10.11
VHGEX,29/09/1995,31326,32.74,0.02275,10.33
VHGEX,31/10/1995,31326,35.97,-0.026112,10.08
VHGEX,30/11/1995,31326,39.307,0.032771,10.4
VHGEX,29/12/1995,31326,42.203,0.019276,10.53
VHGEX,31/01/1996,31326,47.694,0.019943,10.74
VHGEX,29/02/1996,31326,51.352,0.020484,10.96
VHGEX,29/03/1996,31326,54.639,0.020985,11.19
VHGEX,30/04/1996,31326,59.991,0.033065,11.56
VHGEX,31/05/1996,31326,62.644,0.00519,11.62
VHGEX,28/06/1996,31326,63.629,-0.007745,11.53
VHGEX,31/07/1996,31326,89.605,-0.033825,11.14
VHGEX,30/08/1996,31326,93.891,0.018851,11.35
VHGEX,30/09/1996,31326,96.702,0.020264,11.58
VHGEX,31/10/1996,31326,99.423,0.01209,11.72
VHGEX,29/11/1996,31326,105.807,0.044369,12.24
VHGEX,31/12/1996,31326,106.557,-0.005559,11.84
VHGEX,31/01/1997,31326,109.572,0.001689,11.87
VHGEX,28/02/1997,31326,113.692,0.019393,12.09
VHGEX,31/03/1997,31326,113.305,-0.019024,11.86
VHGEX,30/04/1997,31326,114.672,0.005902,11.93
VHGEX,30/05/1997,31326,122.905,0.059514,12.64
VHGEX,30/06/1997,31326,128.955,0.038766,13.13
VHGEX,31/07/1997,31326,133.811,0.033511,13.57
VHGEX,29/08/1997,31326,127.99,-0.044952,12.96
VHGEX,30/09/1997,31326,134.126,0.042438,13.51
VHGEX,31/10/1997,31326,128.44,-0.053294,12.79
VHGEX,28/11/1997,31326,126.685,-0.016419,12.58
VHGEX,31/12/1997,31326,126.355,0.006194,11.98
VHGEX,30/01/1998,31326,126.482,0.010851,12.11
VHGEX,27/02/1998,31326,134.011,0.063584,12.88
VHGEX,31/03/1998,31326,140.944,0.045031,13.46
VHGEX,30/04/1998,31326,143.482,0.016345,13.68
VHGEX,29/05/1998,31326,141.617,-0.011696,13.52
VHGEX,30/06/1998,31326,137.936,-0.024408,13.19
VHGEX,31/07/1998,31326,133.972,-0.022745,12.89
VHGEX,31/08/1998,31326,111.878,-0.150504,10.95
VHGEX,30/09/1998,31326,113,0.016438,11.13
VHGEX,30/10/1998,31326,120.9,0.08805,12.11
VHGEX,30/11/1998,31326,126.7,0.051197,12.73
VHGEX,31/12/1998,31326,128.2,0.02943,12.06
VHGEX,29/01/1999,31326,126,-0.003317,12.02
VHGEX,26/02/1999,31326,123.9,-0.008319,11.92
VHGEX,31/03/1999,31326,129.3,0.051174,12.53
VHGEX,30/04/1999,31326,142.2,0.098962,13.77
VHGEX,28/05/1999,31326,139.3,-0.028322,13.38
VHGEX,30/06/1999,31326,147.4,0.043348,13.96
VHGEX,30/07/1999,31326,152.7,0.014327,14.16
VHGEX,31/08/1999,31326,156.4,-0.007768,14.05
VHGEX,30/09/1999,31326,157.9,-0.022064,13.74
VHGEX,29/10/1999,31326,125.5,0.026201,14.1
VHGEX,30/11/1999,31326,132.6,0.019858,14.38
VHGEX,31/12/1999,31326,144.8,0.056307,14.14
VHGEX,31/01/2000,31326,142.8,-0.044554,13.51
VHGEX,29/02/2000,31326,139,-0.032568,13.07
VHGEX,31/03/2000,31326,149.2,0.06886,13.97
VHGEX,28/04/2000,31326,146.8,-0.013601,13.78
VHGEX,31/05/2000,31326,144.8,-0.005806,13.7
VHGEX,30/06/2000,31326,148.8,0.028467,14.09
VHGEX,31/07/2000,31326,145.2,-0.02626,13.72
VHGEX,31/08/2000,31326,149,0.037901,14.24
VHGEX,29/09/2000,31326,142.1,-0.04073,13.66
VHGEX,31/10/2000,31326,140.4,0.00366,13.71
VHGEX,30/11/2000,31326,137.4,-0.017505,13.47
VHGEX,29/12/2000,31326,142.8,0.047988,12.62
VHGEX,31/01/2001,31326,144.2,0.025357,12.94
VHGEX,28/02/2001,31326,144.5,-0.00541,12.87
VHGEX,30/03/2001,31326,135.7,-0.061383,12.08
VHGEX,30/04/2001,31326,144.7,0.062914,12.84
VHGEX,31/05/2001,31326,148.4,0.015576,13.04
VHGEX,29/06/2001,31326,149,-0.014571,12.85
VHGEX,31/07/2001,31326,150.7,-0.015564,12.65
VHGEX,31/08/2001,31326,155.5,-0.008696,12.54
VHGEX,28/09/2001,31326,138.9,-0.117225,11.07
VHGEX,31/10/2001,31326,144,0.02168,11.31
VHGEX,30/11/2001,31326,153.8,0.057471,11.96
VHGEX,31/12/2001,31326,157.8,0.015873,11.58
VHGEX,31/01/2002,31326,164.4,0.007772,11.67
VHGEX,28/02/2002,31326,171.9,0.014567,11.84
VHGEX,28/03/2002,31326,192.5,0.059122,12.54
VHGEX,30/04/2002,31326,208.6,0.015152,12.73
VHGEX,31/05/2002,31326,238.8,0.023566,13.03
VHGEX,28/06/2002,31326,244.9,-0.05449,12.32
VHGEX,31/07/2002,31326,233.3,-0.100649,11.08
VHGEX,30/08/2002,31326,234.4,0.00361,11.12
VHGEX,30/09/2002,31326,211.5,-0.100719,10
VHGEX,31/10/2002,31326,222.5,0.048,10.48
VHGEX,29/11/2002,31326,244.8,0.084924,11.37
VHGEX,31/12/2002,31326,251.2,-0.038674,10.83
VHGEX,31/01/2003,31326,305.1,-0.009234,10.73
VHGEX,28/02/2003,31326,323.4,-0.023299,10.48
VHGEX,31/03/2003,31326,343.6,-0.01145,10.36
VHGEX,30/04/2003,31326,378.3,0.074324,11.13
VHGEX,30/05/2003,31326,413.8,0.07637,11.98
VHGEX,30/06/2003,31326,440,0.028381,12.32
VHGEX,31/07/2003,31326,473.9,0.025974,12.64
VHGEX,29/08/2003,31326,519.4,0.038766,13.13
VHGEX,30/09/2003,31326,559.4,0.02818,13.5
VHGEX,31/10/2003,31326,663.7,0.071111,14.46
VHGEX,28/11/2003,31326,744,0.022822,14.79
VHGEX,31/12/2003,31326,825.6,0.05816,15.45
VHGEX,30/01/2004,31326,888.3,0.03301,15.96
VHGEX,27/02/2004,31326,916.2,0.017544,16.24
VHGEX,31/03/2004,31326,908.1,-0.008005,16.11
VHGEX,30/04/2004,31326,877.8,-0.036623,15.52
VHGEX,28/05/2004,31326,889.6,0.001289,15.54
VHGEX,30/06/2004,31326,924.9,0.031532,16.03
VHGEX,30/07/2004,31326,896.1,-0.031815,15.52
VHGEX,31/08/2004,31326,894.2,0.001933,15.55
VHGEX,30/09/2004,31326,965.1,0.034084,16.08
VHGEX,29/10/2004,31326,1014.2,0.032338,16.6
VHGEX,30/11/2004,31326,1143.3,0.076506,17.87
VHGEX,31/12/2004,31326,1270.3,0.038258,18.06
VHGEX,31/01/2005,31326,1399.6,-0.015504,17.78
VHGEX,28/02/2005,31326,1591.7,0.037683,18.45
VHGEX,31/03/2005,31326,1680.9,-0.023848,18.01
VHGEX,29/04/2005,31326,1694.4,-0.031094,17.45
VHGEX,31/05/2005,31326,1890.1,0.0149,17.71
VHGEX,30/06/2005,31326,1947.2,0.01581,17.99
VHGEX,29/07/2005,31326,2076.5,0.046693,18.83
VHGEX,31/08/2005,31326,2148.3,0.007435,18.97
VHGEX,30/09/2005,31326,2301.8,0.039536,19.72
VHGEX,31/10/2005,31326,2312.4,-0.040568,18.92
VHGEX,30/11/2005,31326,2478.5,0.032241,19.53
VHGEX,30/12/2005,31326,2676,0.033609,19.51
VHGEX,31/01/2006,31326,3084.3,0.054331,20.57
VHGEX,28/02/2006,31326,3232.6,-0.003403,20.5
VHGEX,31/03/2006,31326,3499.1,0.033171,21.18
VHGEX,28/04/2006,31326,3775.3,0.036827,21.96
VHGEX,31/05/2006,31326,3752.4,-0.037796,21.13
VHGEX,30/06/2006,31326,3790.8,0.006626,21.27
VHGEX,31/07/2006,31326,3861.5,0.006112,21.4
VHGEX,31/08/2006,31326,4020.2,0.017757,21.78
VHGEX,29/09/2006,31326,4191.4,0.008264,21.96
VHGEX,31/10/2006,31326,4482.8,0.044627,22.94
VHGEX,30/11/2006,31326,4747.1,0.030514,23.64
VHGEX,29/12/2006,31326,4964,0.020014,22.92
VHGEX,31/01/2007,31326,5350.4,0.016143,23.29
VHGEX,28/02/2007,31326,5570.7,-0.000429,23.28
VHGEX,30/03/2007,31326,5800,0.022337,23.8
VHGEX,30/04/2007,31326,6250.1,0.044958,24.87
VHGEX,31/05/2007,31326,6744.6,0.04423,25.97
VHGEX,29/06/2007,31326,6939.8,-0.001925,25.92
VHGEX,31/07/2007,31326,7054.4,-0.020448,25.39
VHGEX,31/08/2007,31326,7066.6,-0.005908,25.24
VHGEX,28/09/2007,31326,7551.7,0.050317,26.51
VHGEX,31/10/2007,31326,8111.7,0.047906,27.78
VHGEX,30/11/2007,31326,7674.1,-0.061915,26.06
VHGEX,31/12/2007,31326,7604,-0.017818,23.71
VHGEX,31/01/2008,31326,6869.7,-0.08857,21.61
VHGEX,29/02/2008,31326,6891,-0.006478,21.47
VHGEX,31/03/2008,31326,6852.9,-0.018165,21.08
VHGEX,30/04/2008,31326,7318.4,0.062619,22.4
VHGEX,30/05/2008,31326,7548.8,0.027679,23.02
VHGEX,30/06/2008,31326,6841.9,-0.091659,20.91
VHGEX,31/07/2008,31326,6493,-0.039216,20.09
VHGEX,29/08/2008,31326,6185.8,-0.033848,19.41
VHGEX,30/09/2008,31326,5160.4,-0.14271,16.64
VHGEX,31/10/2008,31326,3869.8,-0.217548,13.02
VHGEX,28/11/2008,31326,3493.2,-0.080645,11.97
VHGEX,31/12/2008,31326,3566.8,0.056496,12.05
VHGEX,30/01/2009,31326,3189.3,-0.103734,10.8
VHGEX,27/02/2009,31326,2766.2,-0.112037,9.59
VHGEX,31/03/2009,31326,2952.7,0.092805,10.48
VHGEX,30/04/2009,31326,3313.1,0.125,11.79
VHGEX,29/05/2009,31326,3493.2,0.104326,13.02
VHGEX,30/06/2009,31326,3376.9,-0.011521,12.87
VHGEX,31/07/2009,31326,3650.8,0.096348,14.11
VHGEX,31/08/2009,31326,3788.4,0.044649,14.74
VHGEX,30/09/2009,31326,3813.4,0.050882,15.49
VHGEX,30/10/2009,31326,3659.7,-0.032924,14.98
VHGEX,30/11/2009,31326,3776.9,0.040721,15.59
VHGEX,31/12/2009,31326,3823.6,0.027836,15.67
VHGEX,29/01/2010,31326,3644.3,-0.037652,15.08
VHGEX,26/02/2010,31326,3748.9,0.014589,15.3
VHGEX,31/03/2010,31326,4013.4,0.070588,16.38
VHGEX,30/04/2010,31326,4075.2,0.006716,16.49
VHGEX,28/05/2010,31326,3646.7,-0.091571,14.98
VHGEX,30/06/2010,31326,3420.7,-0.038051,14.41
VHGEX,30/07/2010,31326,3701.5,0.084663,15.63
VHGEX,31/08/2010,31326,3545,-0.033269,15.11
VHGEX,30/09/2010,31326,3905.8,0.107876,16.74
VHGEX,29/10/2010,31326,4052.2,0.039427,17.4
VHGEX,30/11/2010,31326,3935.9,-0.021264,17.03
VHGEX,31/12/2010,31326,4162.9,0.067698,17.86
VHGEX,31/01/2011,31326,4224.6,0.015118,18.13
VHGEX,28/02/2011,31326,4299.6,0.027579,18.63
VHGEX,31/03/2011,31326,4295.7,0.004294,18.71
VHGEX,29/04/2011,31326,4480,0.046499,19.58
VHGEX,31/05/2011,31326,4361,-0.020429,19.18
VHGEX,30/06/2011,31326,4261.9,-0.010428,18.98
VHGEX,29/07/2011,31326,4116.9,-0.023709,18.53
VHGEX,31/08/2011,31326,3751.9,-0.083108,16.99
VHGEX,30/09/2011,31326,3329.9,-0.103002,15.24
VHGEX,31/10/2011,31326,3636.7,0.101706,16.79
VHGEX,30/11/2011,31326,3540.9,-0.018463,16.48
VHGEX,30/12/2011,31326,3433.4,-0.01269,15.91
VHGEX,31/01/2012,31326,3647.6,0.070396,17.03
VHGEX,29/02/2012,31326,3791.1,0.047563,17.84
VHGEX,30/03/2012,31326,3946.9,0.012892,18.07
VHGEX,30/04/2012,31326,3893.8,-0.009961,17.89
VHGEX,31/05/2012,31326,3546.3,-0.087759,16.32
VHGEX,29/06/2012,31326,3708.6,0.049632,17.13
VHGEX,31/07/2012,31326,3686.6,-0.000584,17.12
VHGEX,31/08/2012,31326,3767.4,0.030374,17.64
VHGEX,28/09/2012,31326,3853.2,0.032313,18.21
VHGEX,31/10/2012,31326,3834.7,0.001647,18.24
VHGEX,30/11/2012,31326,3904.8,0.013158,18.48
VHGEX,31/12/2012,31326,3982.8,0.029009,18.67
VHGEX,31/01/2013,31326,4180.4,0.049277,19.59
VHGEX,28/02/2013,31326,4178.2,0.003573,19.66
VHGEX,28/03/2013,31326,4259.2,0.028484,20.22
VHGEX,30/04/2013,31326,4336.3,0.024233,20.71
VHGEX,31/05/2013,31326,4373.1,0.00676,20.85
VHGEX,28/06/2013,31326,4255.8,-0.023981,20.35
VHGEX,31/07/2013,31326,4393.5,0.048157,21.33
VHGEX,30/08/2013,31326,4255.3,-0.026723,20.76
VHGEX,30/09/2013,31326,4498.5,0.05684,21.94
VHGEX,31/10/2013,31326,4661.5,0.036463,22.74
VHGEX,29/11/2013,31326,4733,0.021988,23.24
VHGEX,31/12/2013,31326,4692.8,0.025447,23.47
VHGEX,31/01/2014,31326,4490.3,-0.03579,22.63
VHGEX,28/02/2014,31326,4643.3,0.051701,23.8
VHGEX,31/03/2014,31326,4626.8,0.006303,23.95
VHGEX,30/04/2014,31326,4638.4,0.002088,24
VHGEX,30/05/2014,31326,4636.6,0.022917,24.55
VHGEX,30/06/2014,31326,4740,0.017923,24.99
VHGEX,31/07/2014,31326,4641.8,-0.019208,24.51
VHGEX,29/08/2014,31326,4752.3,0.02652,25.16
VHGEX,30/09/2014,31326,4531.5,-0.038553,24.19
VHGEX,31/10/2014,31326,4566,0.012815,24.5
VHGEX,28/11/2014,31326,4622.8,0.015102,24.87
VHGEX,31/12/2014,31326,4499.2,-0.01566,24.11
VHGEX,30/01/2015,31326,4407.5,-0.014102,23.77
VHGEX,27/02/2015,31326,4654.2,0.055532,25.09
VHGEX,31/03/2015,31326,4609.1,-0.003189,25.01
VHGEX,30/04/2015,31326,4654.8,0.011595,25.3
VHGEX,29/05/2015,31326,4670.7,0.0083,25.51
VHGEX,30/06/2015,31326,4566.2,-0.020776,24.98
VHGEX,31/07/2015,31326,4560.5,0.003203,25.06
VHGEX,31/08/2015,31326,4260,-0.06265,23.49
VHGEX,30/09/2015,31326,4143.6,-0.027246,22.85
VHGEX,30/10/2015,31326,4438.5,0.068709,24.42
VHGEX,30/11/2015,31326,4434.6,0.005324,24.55
VHGEX,31/12/2015,31326,4330.1,-0.020315,23.64
VHGEX,29/01/2016,31326,4044,-0.061337,22.19
VHGEX,29/02/2016,31326,3983.1,-0.012168,21.92
VHGEX,31/03/2016,31326,4271.5,0.07573,23.58
VHGEX,29/04/2016,31326,4317.6,0.007209,23.75
VHGEX,31/05/2016,31326,4328.2,0.007579,23.93
VHGEX,30/06/2016,31326,4283.8,-0.009611,23.7
VHGEX,29/07/2016,31326,4384.8,0.04346,24.73
VHGEX,31/08/2016,31326,4374.2,0.002022,24.78
VHGEX,30/09/2016,31326,4515.5,0.016142,25.18
VHGEX,31/10/2016,31326,4417,-0.023034,24.6
VHGEX,30/11/2016,31326,4439.2,0.00935,24.83
VHGEX,30/12/2016,31326,4430.1,0.014611,24.82
VHGEX,31/01/2017,31326,4626.9,0.038678,25.78
VHGEX,28/02/2017,31326,4709.4,0.017067,26.22
VHGEX,31/03/2017,31326,4776.3,0.017162,26.67
VHGEX,28/04/2017,31326,4910.3,0.027372,27.4
VHGEX,31/05/2017,31326,5050.2,0.029197,28.2
VHGEX,30/06/2017,31326,5092.9,0.008156,28.43
VHGEX,31/07/2017,31326,5241.5,0.026029,29.17
VHGEX,31/08/2017,31326,5300.2,0.009599,29.45
VHGEX,29/09/2017,31326,5386.9,0.017997,29.98
VHGEX,31/10/2017,31326,5583.1,0.032355,30.95
VHGEX,30/11/2017,31326,5660.7,0.011309,31.3
VHGEX,29/12/2017,31326,5731.2,0.013281,31.31
VHGEX,31/01/2018,31326,6125.7,0.059087,33.16
VHGEX,28/02/2018,31326,5832.3,-0.043727,31.71
VHGEX,29/03/2018,31326,5785.1,-0.00883,31.43
VHGEX,30/04/2018,31326,5774.9,-0.000636,31.41
VHGEX,31/05/2018,31326,5697,0.011143,31.76
VHGEX,29/06/2018,31326,5641.5,-0.007242,31.53
VHGEX,31/07/2018,31326,5731.7,0.028861,32.44
VHGEX,31/08/2018,31326,5790.3,0.008323,32.71
VHGEX,28/09/2018,31326,5769,-0.002751,32.62
VHGEX,31/10/2018,31326,5297.7,-0.080932,29.98
VHGEX,30/11/2018,31326,5379.7,0.021348,30.62
VHGEX,31/12/2018,31326,4880.4,-0.07105,26.24
VHGEX,31/01/2019,31326,5938.5,0.081936,28.39
VHGEX,28/02/2019,31326,6161.3,0.028531,29.2
VHGEX,29/03/2019,31326,6225.9,0.014726,29.63
VHGEX,30/04/2019,31326,6451.4,0.036787,30.72
VHGEX,31/05/2019,31326,6136.2,-0.054036,29.06
VHGEX,28/06/2019,31326,6524,0.065038,30.95
VHGEX,31/07/2019,31326,6580.1,0.0042,31.08
VHGEX,30/08/2019,31326,6429.1,-0.022201,30.39
VHGEX,30/09/2019,31326,6512.6,0.011846,30.75
VHGEX,31/10/2019,31326,6664.7,0.026341,31.56
VHGEX,29/11/2019,31326,6872.8,0.032953,32.6
VHGEX,31/12/2019,31326,7090.5,0.036148,31.79
VHGEX,31/01/2020,31326,6980.1,-0.016672,31.26
VHGEX,28/02/2020,31326,6474.6,-0.064619,29.24
VHGEX,31/03/2020,31326,5432.8,-0.145349,24.99
VHGEX,30/04/2020,31326,5895.1,0.108844,27.71
VHGEX,29/05/2020,31326,6135.3,0.051967,29.15
VHGEX,30/06/2020,31326,6410.6,0.045626,30.48
VHGEX,31/07/2020,31326,6766.8,0.060039,32.31
VHGEX,31/08/2020,31326,7141.4,0.059115,34.22
VHGEX,30/09/2020,31326,6809.4,-0.026593,33.31
VHGEX,30/10/2020,31326,6647.4,-0.016812,32.75
VHGEX,30/11/2020,31326,7483.6,0.126718,36.9
VHGEX,31/12/2020,31326,7892.2,0.054339,37.81
VHGEX,29/01/2021,31326,7869.2,-0.003703,37.67
VHGEX,26/02/2021,31326,8262.1,0.040881,39.21
VHGEX,31/03/2021,31326,8388.6,0.013517,39.74
VHGEX,30/04/2021,31326,8737.2,0.041772,41.4
VHGEX,28/05/2021,31326,8876.7,0.013768,41.97
VHGEX,30/06/2021,31326,9022,0.011198,42.44
VHGEX,30/07/2021,31326,9057.3,0.002121,42.53
VHGEX,31/08/2021,31326,9241.9,0.01787,43.29
VHGEX,30/09/2021,31326,9063,-0.040656,41.53
VHGEX,29/10/2021,31326,9699.4,0.053696,43.76
VHGEX,30/11/2021,31326,9419.2,-0.045018,41.79
VHGEX,31/12/2021,31326,9521.8,0.023561,38.47
VHGEX,31/01/2022,31326,8881.9,-0.066805,35.9
VHGEX,28/02/2022,31326,8493.5,-0.035376,34.63
VHGEX,31/03/2022,31326,8520.2,0.009241,34.95
VHGEX,29/04/2022,31326,7672.6,-0.088126,31.87
VHGEX,31/05/2022,31326,7643.2,0.006903,32.09
VHGEX,30/06/2022,31326,7019.4,-0.077283,29.61
VHGEX,29/07/2022,31326,7380.1,0.0564,31.28
VHGEX,31/08/2022,31326,7037.4,-0.036765,30.13
VHGEX,30/09/2022,31326,6271.4,-0.10156,27.07
VHGEX,31/10/2022,31326,6573.9,0.052826,28.5
VHGEX,30/11/2022,31326,7176.5,0.097895,31.29
VHGEX,30/12/2022,31326,6664,-0.0489,26.74
